Namespace(batch_size=32, dataset='knu', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='KNU_cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, output_channels=18, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 57, loss: 1.281932, train acc: 0.936298, train avg acc: 0.808119
Test 57, loss: 1.540089, test acc: 0.788687, test avg acc: 0.647317
Train 58, loss: 1.279915, train acc: 0.934375, train avg acc: 0.769211
Test 58, loss: 1.640403, test acc: 0.785486, test avg acc: 0.656005
Train 59, loss: 1.287197, train acc: 0.929567, train avg acc: 0.792275
Test 59, loss: 1.505946, test acc: 0.802561, test avg acc: 0.671305
Train 60, loss: 1.271723, train acc: 0.938702, train avg acc: 0.789159
Test 60, loss: 1.587025, test acc: 0.773746, test avg acc: 0.677308
Train 61, loss: 1.281216, train acc: 0.937500, train avg acc: 0.826462
Test 61, loss: 1.624006, test acc: 0.759872, test avg acc: 0.623916
Train 62, loss: 1.275640, train acc: 0.935577, train avg acc: 0.788152
Test 62, loss: 1.670416, test acc: 0.782284, test avg acc: 0.630213
Train 63, loss: 1.268726, train acc: 0.940865, train avg acc: 0.847060
Test 63, loss: 1.546569, test acc: 0.794023, test avg acc: 0.639784
Train 64, loss: 1.277156, train acc: 0.933173, train avg acc: 0.800883
Test 64, loss: 1.483549, test acc: 0.824973, test avg acc: 0.662407
Train 65, loss: 1.260654, train acc: 0.943750, train avg acc: 0.824431
Test 65, loss: 1.586379, test acc: 0.760939, test avg acc: 0.666635
Train 66, loss: 1.263156, train acc: 0.941827, train avg acc: 0.877477
Test 66, loss: 1.524978, test acc: 0.814301, test avg acc: 0.677180
Train 67, loss: 1.264146, train acc: 0.946154, train avg acc: 0.842123
Test 67, loss: 1.592899, test acc: 0.791889, test avg acc: 0.648656
Train 68, loss: 1.260141, train acc: 0.948317, train avg acc: 0.849856
Test 68, loss: 1.677826, test acc: 0.787620, test avg acc: 0.643230
Train 69, loss: 1.248575, train acc: 0.955769, train avg acc: 0.878683
Test 69, loss: 1.506997, test acc: 0.808965, test avg acc: 0.740867
Train 70, loss: 1.236049, train acc: 0.959135, train avg acc: 0.848317
Test 70, loss: 1.535020, test acc: 0.811099, test avg acc: 0.657158
Train 71, loss: 1.243649, train acc: 0.952644, train avg acc: 0.839781
