---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                         Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    CPU Mem          Self CPU Mem     CUDA Mem         Self CUDA Mem    Number of Calls  Input Shapes                                   
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
_unsafe_view                 0.00%            18.600us         0.00%            25.100us         25.100us         0.00%            5.125us          5.125us          0 b              0 b              0 b              0 b              1                [[16, 128, 128]]                               
view                         0.00%            6.500us          0.00%            6.500us          6.500us          0.00%            1.016us          1.016us          0 b              0 b              0 b              0 b              1                [[16, 128, 128]]                               
is_complex                   0.00%            2.600us          0.00%            2.600us          2.600us          0.00%            1.031us          1.031us          0 b              0 b              0 b              0 b              1                [[]]                                           
mul                          0.00%            102.000us        0.01%            569.200us        569.200us        0.00%            11.281us         11.281us         0 b              0 b              1.00 Mb          0 b              1                [[16, 128, 128], []]                           
empty                        0.01%            467.200us        0.01%            467.200us        467.200us        0.00%            3.062us          3.062us          0 b              0 b              1.00 Mb          1.00 Mb          1                []                                             
pow                          0.00%            98.600us         0.00%            142.300us        142.300us        0.00%            36.875us         36.875us         0 b              0 b              24.00 Kb         0 b              1                [[16, 3, 128], []]                             
result_type                  0.00%            19.000us         0.00%            20.700us         20.700us         0.00%            6.156us          6.156us          0 b              0 b              0 b              0 b              1                [[16, 3, 128], []]                             
is_complex                   0.00%            1.700us          0.00%            1.700us          1.700us          0.00%            1.047us          1.047us          0 b              0 b              0 b              0 b              1                [[]]                                           
empty_like                   0.00%            4.300us          0.00%            11.800us         11.800us         0.00%            4.094us          4.094us          0 b              0 b              24.00 Kb         0 b              1                [[16, 3, 128]]                                 
empty                        0.00%            7.500us          0.00%            7.500us          7.500us          0.00%            2.031us          2.031us          0 b              0 b              24.00 Kb         24.00 Kb         1                []                                             
result_type                  0.00%            6.700us          0.00%            7.800us          7.800us          0.00%            6.156us          6.156us          0 b              0 b              0 b              0 b              1                [[16, 3, 128], []]                             
is_complex                   0.00%            1.100us          0.00%            1.100us          1.100us          0.00%            1.016us          1.016us          0 b              0 b              0 b              0 b              1                [[]]                                           
can_cast                     0.00%            1.300us          0.00%            1.300us          1.300us          0.00%            1.031us          1.031us          0 b              0 b              0 b              0 b              1                []                                             
to                           0.00%            2.100us          0.00%            2.100us          2.100us          0.00%            1.031us          1.031us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
sum                          0.00%            72.200us         0.00%            78.300us         78.300us         0.00%            16.391us         16.391us         0 b              0 b              8.00 Kb          0 b              1                [[16, 3, 128]]                                 
empty                        0.00%            6.100us          0.00%            6.100us          6.100us          0.00%            2.047us          2.047us          0 b              0 b              8.00 Kb          8.00 Kb          1                []                                             
neg                          0.00%            41.300us         0.00%            85.600us         85.600us         0.00%            14.328us         14.328us         0 b              0 b              8.00 Kb          0 b              1                [[16, 1, 128]]                                 
